RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
1046371,2016906513,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,09/26/2016 11:52:00 AM,09/12/2016 10:00:00 AM,09/12/2016 02:00:00 PM,22XX BLOCK OF WESTLAKE AV,D,D2,7200.1048,-122.338439941,47.618244171,"(47.618244171, -122.338439941)",9,2016
1046471,2016349279,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,09/26/2016 12:04:00 PM,09/25/2016 11:30:00 AM,09/26/2016 08:15:00 AM,24XX BLOCK OF WESTMONT WY W,Q,Q1,5600.4021,-122.407012939,47.640792847,"(47.640792847, -122.407012939)",9,2016
1047298,2016358293,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/03/2016 11:56:00 AM,10/02/2016 06:00:00 PM,10/03/2016 09:00:00 AM,NE 50 ST / BROOKLYN AV NE,U,U1,5301.2002,-122.314208984,47.664905548,"(47.664905548, -122.314208984)",10,2016
1047387,2016906524,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,09/26/2016 05:03:00 PM,09/25/2016 10:00:00 AM,09/25/2016 01:30:00 PM,22XX BLOCK OF NE 46 ST,U,U1,4302.2011,-122.303993225,47.661804199,"(47.661804199, -122.303993225)",9,2016
1047426,2016906526,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,09/26/2016 05:35:00 PM,09/22/2016 05:30:00 PM,09/23/2016 05:30:00 PM,50XX BLOCK OF BROOKLYN AV NE,U,U1,4400.4007,-122.314201355,47.665676117,"(47.665676117, -122.314201355)",9,2016
1047502,2016356404,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,10/01/2016 05:45:00 PM,09/29/2016 11:30:00 PM,09/30/2016 08:30:00 AM,5XX BLOCK OF 12 AV,G,G1,8600.1015,-122.31678009,47.607131958,"(47.607131958, -122.31678009)",10,2016
1047549,2016339894,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,09/19/2016 12:31:00 PM,09/16/2016 06:00:00 PM,09/18/2016 05:00:00 PM,5XX BLOCK OF W MERCER ST,Q,Q3,7000.2004,-122.363548279,47.624607086,"(47.624607086, -122.363548279)",9,2016
1048009,2016339653,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,09/19/2016 08:25:00 AM,09/18/2016 06:00:00 PM,09/18/2016 10:00:00 PM,38XX BLOCK OF DELRIDGE WY SW,W,W1,9900.4085,-122.362106323,47.570037842,"(47.570037842, -122.362106323)",9,2016
1048013,2016317219,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,09/01/2016 05:54:00 PM,08/31/2016 08:00:00 PM,09/01/2016 08:00:00 AM,36XX BLOCK OF COURTLAND PL S,R,R2,10100.5009,-122.287200928,47.570678711,"(47.570678711, -122.287200928)",9,2016
1048014,2016308611,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,08/26/2016 07:56:00 AM,08/23/2016 12:45:00 PM,08/23/2016 12:50:00 PM,14XX BLOCK OF BROADWAY,E,E2,8400.1008,-122.320770264,47.613517761,"(47.613517761, -122.320770264)",8,2016
